entry_id_to,region_id_to,entry_id_from,region_id_from,overlap_start
1601,1817,1329,1476,-9500
1821,2002,1329,1476,-9300
1402,1558,1049,44,-4350
1015,517,1016,529,-4000
1403,1559,1049,44,-4000
1015,517,232,529,-4000
233,530,247,525,-3750
233,530,246,525,-3750
1451,1609,1402,1558,-3600
1451,1609,1049,44,-3600
1173,1318,1016,529,-3500
1173,1318,232,529,-3500
2197,2258,1451,1609,-3300
216,476,230,494,-3200
783,983,1015,517,-3150
783,983,232,529,-3150
234,533,2150,2286,-3050
234,533,247,525,-3050
234,533,246,525,-3050
234,533,233,530,-3050
738,944,1015,517,-3000
1942,2046,230,494,-3000
738,944,783,983,-3000
738,944,233,530,-3000
738,944,234,533,-3000
738,944,1173,1318,-3000
738,944,246,525,-3000
738,944,1451,1609,-3000
738,944,247,525,-3000
997,535,1173,1318,-2950
997,535,1015,517,-2950
237,536,234,533,-2950
997,535,783,983,-2950
997,535,738,944,-2950
997,535,233,530,-2950
237,536,246,525,-2950
237,536,247,525,-2950
479,476,230,494,-2900
1081,1218,738,944,-2750
1106,1266,997,535,-2750
1081,1218,997,535,-2750
1106,1266,738,944,-2750
1081,1218,1106,1266,-2750
784,983,738,944,-2686
784,983,997,535,-2686
1006,535,233,530,-2670
1006,535,738,944,-2670
1006,535,784,983,-2670
1006,535,1081,1218,-2670
1006,535,1106,1266,-2670
1006,535,1173,1318,-2670
1096,1238,1006,535,-2620
1096,1238,738,944,-2620
1104,1247,1006,535,-2613
1104,1247,738,944,-2613
1005,1159,216,476,-2600
1005,1159,230,494,-2600
1005,1159,479,476,-2600
1947,2053,230,494,-2500
2402,2053,1484,1631,-2500
1484,1631,216,476,-2500
1484,1631,479,476,-2500
1484,1631,1947,2053,-2500
1484,1631,1942,2046,-2500
1484,1631,1005,1159,-2500
2402,2053,230,494,-2500
1484,1631,230,494,-2500
1801,1991,1656,1868,-2400
1801,1991,1484,1631,-2400
1801,1991,230,494,-2400
1656,1868,1484,1631,-2400
1656,1868,230,494,-2400
1155,1295,738,944,-2375
1155,1295,1006,535,-2375
681,904,1656,1868,-2350
681,904,1005,1159,-2350
681,904,479,476,-2350
681,904,216,476,-2350
681,904,1801,1991,-2350
681,904,1947,2053,-2350
681,904,2402,2053,-2350
681,904,1484,1631,-2350
681,904,230,494,-2350
1148,1295,738,944,-2345
1148,1295,1006,535,-2345
1429,1586,1484,1631,-2300
1429,1586,216,476,-2300
1429,1586,479,476,-2300
1429,1586,230,494,-2300
1429,1586,681,904,-2300
785,983,738,944,-2181
785,983,1006,535,-2181
1008,535,1173,1318,-2168
1008,535,1106,1266,-2168
1008,535,1081,1218,-2168
1008,535,785,983,-2168
1008,535,738,944,-2168
1008,535,233,530,-2168
1183,1936,1005,1159,-2100
1183,1936,1429,1586,-2100
1183,1936,1484,1631,-2100
1183,1936,216,476,-2100
1183,1936,230,494,-2100
1072,1211,738,944,-2055
1072,1211,1008,535,-2055
786,983,738,944,-2055
786,983,1008,535,-2055
239,526,1008,535,-2050
239,526,233,530,-2050
239,526,234,533,-2050
239,526,738,944,-2050
239,526,247,525,-2050
239,526,246,525,-2050
1802,2001,230,494,-2000
1802,2001,1484,1631,-2000
1124,1267,738,944,-2000
1574,1328,230,494,-2000
